,id,target,#palabras,#palabras_unicas,#caracteres,#stopwords,#puntuacion,#capitalize,#mayusculas,#silabas,promedio_len_word,#caracteres_especiales,#palabras_binned,#palabras_unicas_binned,#caracteres_binned,#stopwords_binned,#puntuacion_binned,#capitalize_binned,#mayusculas_binned,#silabas_binned,#caracteres_especiales_binned
65,93,True,6,6,39,1,0,1,0,9,5.333333333333333,0,0,0,0,0,0,0,0,0,0
66,95,False,18,17,79,8,3,2,2,22,3.3333333333333335,3,2,2,2,2,1,1,0,2,1
67,96,False,27,26,142,9,7,2,7,33,4.222222222222222,7,3,3,4,2,2,1,0,3,2
68,97,True,11,11,76,2,4,4,2,18,5.818181818181818,4,1,1,2,0,1,1,0,1,1
69,98,True,15,15,102,3,4,5,2,24,5.733333333333333,4,2,2,3,1,1,2,0,2,1
70,100,False,17,16,108,6,6,2,0,29,5.294117647058823,6,2,2,3,2,2,1,0,3,2
71,102,False,12,12,91,1,3,8,0,21,6.5,3,1,1,2,0,1,2,0,2,1
72,104,True,17,17,118,3,4,6,0,23,5.882352941176471,4,2,2,4,1,1,2,0,2,1
73,105,True,4,4,37,0,0,3,0,11,8.0,0,0,0,0,0,0,1,0,0,0
74,107,True,15,15,92,1,3,10,2,16,5.0,3,2,2,2,0,1,2,0,1,1
75,109,False,10,10,54,3,0,1,1,14,4.3,0,0,1,0,1,0,0,0,0,0
76,110,False,8,8,45,3,2,1,0,9,4.5,2,0,0,0,1,0,0,0,0,0
77,112,True,9,9,69,0,7,2,5,13,6.555555555555555,7,0,0,1,0,2,1,0,0,2
78,113,True,16,16,97,2,3,9,2,18,4.9375,3,2,2,3,0,1,2,0,1,1
79,114,True,18,12,93,11,7,0,0,15,4.111111111111111,7,2,1,2,2,2,0,0,1,2
80,117,False,27,25,144,11,16,0,0,27,4.2592592592592595,16,3,3,4,2,2,0,0,3,2
81,118,True,19,19,100,6,5,3,2,29,4.2105263157894735,5,3,3,3,2,2,1,0,3,2
82,119,False,17,16,82,7,2,4,3,19,3.764705882352941,2,2,2,2,2,0,1,0,1,0
83,120,True,12,12,79,6,3,4,0,17,5.5,3,1,1,2,2,1,1,0,1,1
84,121,True,11,11,58,3,2,2,3,11,4.181818181818182,2,1,1,1,1,0,1,0,0,0
85,126,True,16,16,115,1,6,11,2,28,6.125,6,2,2,3,0,2,2,0,3,2
86,128,True,8,8,69,0,6,0,8,15,7.5,6,0,0,1,0,2,0,0,1,2
87,129,True,24,24,142,6,5,7,3,36,4.875,5,3,3,4,2,2,2,0,3,2
88,130,True,25,25,130,6,3,5,2,24,4.16,3,3,3,4,2,1,2,0,2,1
89,131,True,6,6,49,0,3,0,6,10,7.0,3,0,0,0,0,1,0,0,0,1
90,132,False,5,5,25,3,4,0,0,6,3.8,4,0,0,0,1,1,0,0,0,1
91,133,True,8,8,59,0,5,1,8,12,6.25,5,0,0,1,0,2,0,0,0,2
92,134,True,10,10,58,1,1,0,8,14,4.7,1,0,1,1,0,0,0,0,0,0
93,135,True,8,8,58,0,1,8,0,18,6.125,1,0,0,1,0,0,2,0,1,0
94,136,True,3,3,27,0,0,3,0,7,7.666666666666667,0,0,0,0,0,0,1,0,0,0
95,137,True,26,24,140,6,7,6,4,24,4.346153846153846,7,3,3,4,2,2,2,0,2,2
96,138,False,22,22,140,7,3,2,0,35,5.318181818181818,3,3,3,4,2,1,1,0,3,1
97,139,True,20,20,125,8,6,1,2,28,5.2,6,3,3,4,2,2,0,0,3,2
98,141,False,9,8,47,7,1,0,0,15,4.111111111111111,1,0,0,0,2,0,0,0,1,0
99,143,True,22,18,99,9,4,1,0,22,3.4545454545454546,4,3,3,3,2,1,0,0,2,1
100,144,True,15,15,90,7,1,1,0,25,4.933333333333334,1,2,2,2,2,0,0,0,2,0
101,145,False,20,20,141,7,1,4,1,35,6.0,1,3,3,4,2,0,1,0,3,0
102,146,False,7,7,34,2,3,0,0,7,3.7142857142857144,3,0,0,0,0,1,0,0,0,1
103,149,False,20,17,112,10,3,3,0,20,4.5,3,3,2,3,2,1,1,0,2,1
104,151,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
105,153,False,11,11,75,3,3,4,0,17,5.7272727272727275,3,1,1,1,1,1,1,0,1,1
106,156,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
107,157,False,8,8,55,2,3,3,0,10,5.75,3,0,0,1,0,1,1,0,0,1
108,158,False,23,22,110,12,1,0,0,24,3.739130434782609,1,3,3,3,2,0,0,0,2,0
109,159,False,11,9,71,4,3,3,0,15,5.363636363636363,3,1,0,1,1,1,1,0,1,1
110,160,False,11,11,85,4,3,0,0,23,6.636363636363637,3,1,1,2,1,1,0,0,2,1
111,161,False,11,11,62,3,5,2,1,15,4.545454545454546,5,1,1,1,1,2,1,0,1,2
112,162,False,18,16,111,7,6,1,1,19,5.111111111111111,6,2,2,3,2,2,0,0,1,2
113,163,False,1,1,12,0,0,1,0,3,10.0,0,0,0,0,0,0,0,0,0,0
114,164,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
115,165,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
116,168,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
117,170,False,8,8,45,3,3,1,0,9,4.5,3,0,0,0,1,1,0,0,0,1
118,171,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
119,172,False,13,11,81,0,14,3,4,13,5.153846153846154,14,1,1,2,0,2,1,0,0,2
120,173,False,20,20,118,4,5,4,1,36,4.85,5,3,3,4,1,2,1,0,3,2
121,174,False,14,14,97,4,1,10,0,22,5.857142857142857,1,1,2,3,1,0,2,0,2,0
122,175,False,23,22,138,9,8,1,0,33,4.956521739130435,8,3,3,4,2,2,0,0,3,2
123,176,False,6,6,45,0,3,3,0,10,6.166666666666667,3,0,0,0,0,1,1,0,0,1
124,178,False,14,14,94,3,11,7,0,19,5.642857142857143,11,1,2,2,1,2,2,0,1,2
125,180,False,19,15,130,9,4,3,0,35,5.7894736842105265,4,3,2,4,2,1,1,0,3,1
126,182,False,26,22,134,15,4,3,0,31,4.115384615384615,4,3,3,4,2,1,1,0,3,1
127,183,False,15,13,88,6,6,2,0,21,4.8,6,2,1,2,2,2,1,0,2,2
128,184,False,26,22,134,12,3,4,1,33,4.076923076923077,3,3,3,4,2,1,1,0,3,1
129,185,False,11,11,63,4,1,2,0,13,4.636363636363637,1,1,1,1,1,0,1,0,0,0
130,187,False,4,4,15,1,0,1,1,6,2.5,0,0,0,0,0,0,0,0,0,0
131,190,False,1,1,12,0,0,1,0,3,10.0,0,0,0,0,0,0,0,0,0,0
132,191,False,21,20,116,7,3,3,1,27,4.476190476190476,3,3,3,4,2,1,1,0,3,1
133,193,False,18,17,100,9,1,4,0,23,4.444444444444445,1,2,2,3,2,0,1,0,2,0
134,194,False,14,10,80,3,3,3,0,10,4.642857142857143,3,1,1,2,1,1,1,0,0,1
135,195,False,12,12,61,1,3,5,4,17,4.0,3,1,1,1,0,1,2,0,1,1
136,196,True,17,17,115,2,5,5,0,24,5.705882352941177,5,2,2,3,0,2,2,0,2,2
137,197,True,19,18,115,8,4,2,0,32,5.0,4,3,3,3,2,1,1,0,3,1
138,198,False,13,13,70,6,1,0,0,19,4.3076923076923075,1,1,1,1,2,0,0,0,1,0
139,199,True,17,16,115,3,4,6,0,24,5.705882352941177,4,2,2,3,1,1,2,0,2,1
140,201,True,16,15,90,5,7,0,0,22,4.5625,7,2,2,2,1,2,0,0,2,2
141,203,True,20,20,112,6,6,0,0,27,4.55,6,3,3,3,2,2,0,0,3,2
142,204,True,7,7,45,1,1,5,0,13,5.285714285714286,1,0,0,0,0,0,2,0,0,0
143,205,True,9,9,63,1,4,7,0,13,5.777777777777778,4,0,0,1,0,1,2,0,0,1
144,208,True,22,21,137,4,1,8,1,41,5.181818181818182,1,3,3,4,1,0,2,0,3,0
145,209,True,9,9,76,0,7,7,0,15,7.333333333333333,7,0,0,2,0,2,2,0,1,2
146,210,True,17,16,117,3,1,6,0,26,5.823529411764706,1,2,2,4,1,0,2,0,3,0
147,211,True,20,18,138,3,4,6,0,30,5.85,4,3,3,4,1,1,2,0,3,1
148,212,True,13,13,97,3,6,1,3,21,6.384615384615385,6,1,1,3,1,2,0,0,2,2
149,213,False,13,13,73,3,0,1,1,18,4.538461538461538,0,1,1,1,1,0,0,0,1,0
150,215,False,20,19,103,10,3,2,0,22,4.1,3,3,3,3,2,1,1,0,2,1
151,216,True,17,17,115,2,5,5,1,24,5.705882352941177,5,2,2,3,0,2,2,0,2,2
152,218,True,12,12,102,1,10,1,0,29,7.416666666666667,10,1,1,3,0,2,0,0,3,2
153,219,True,9,9,64,1,5,7,0,13,5.888888888888889,5,0,0,1,0,2,2,0,0,2
154,220,True,9,9,62,1,4,7,0,13,5.777777777777778,4,0,0,1,0,1,2,0,0,1
155,221,True,11,11,72,2,2,3,0,23,5.454545454545454,2,1,1,1,0,0,1,0,2,0
156,222,True,16,16,107,0,7,14,0,26,5.625,7,2,2,3,0,2,2,0,3,2
157,225,True,10,10,59,4,1,1,0,16,4.8,1,0,1,1,1,0,0,0,1,0
158,226,True,17,17,115,2,5,6,1,25,5.705882352941177,5,2,2,3,0,2,2,0,2,2
159,229,True,17,16,115,3,4,6,0,24,5.705882352941177,4,2,2,3,1,1,2,0,2,1
160,231,True,16,16,96,0,6,12,2,22,4.9375,6,2,2,3,0,2,2,0,2,2
161,232,True,25,22,138,7,5,4,0,28,4.32,5,3,3,4,2,2,1,0,3,2
162,235,True,9,9,54,2,1,6,1,14,4.888888888888889,1,0,0,0,0,0,2,0,0,0
163,237,True,13,13,91,1,11,4,4,18,5.923076923076923,11,1,1,2,0,2,1,0,1,2
164,238,True,20,18,138,3,4,6,0,30,5.85,4,3,3,4,1,1,2,0,3,1
165,240,True,5,5,28,2,1,1,1,9,4.4,1,0,0,0,0,0,0,0,0,0
166,241,False,13,13,70,4,1,2,0,18,4.3076923076923075,1,1,1,1,1,0,1,0,1,0
167,242,False,21,19,106,11,2,2,1,30,4.0,2,3,3,3,2,0,1,0,3,0
168,243,True,11,10,65,3,0,1,0,18,4.818181818181818,0,1,1,1,1,0,0,0,1,0
169,244,True,6,6,40,2,0,1,0,10,5.333333333333333,0,0,0,0,0,0,0,0,0,0
170,245,True,20,19,115,6,3,2,0,33,4.7,3,3,3,3,2,1,1,0,3,1
171,246,True,22,20,118,10,4,1,0,27,4.318181818181818,4,3,3,4,2,1,0,0,3,1
172,247,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
173,248,True,18,18,92,5,7,1,0,19,4.055555555555555,7,2,3,2,1,2,0,0,1,2
174,249,True,12,12,85,1,2,3,0,21,6.0,2,1,1,2,0,0,1,0,2,0
175,251,False,8,8,64,0,0,1,0,13,6.875,0,0,0,1,0,0,0,0,0,0
176,252,True,19,19,138,7,5,5,0,28,6.2105263157894735,5,3,3,4,2,2,2,0,3,2
177,253,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
178,254,False,12,12,82,0,1,0,9,21,5.75,1,1,1,2,0,0,0,0,2,0
179,256,False,12,12,68,0,0,12,0,14,4.583333333333333,0,1,1,1,0,0,2,0,0,0
180,258,True,14,14,68,5,2,0,0,17,3.7857142857142856,2,1,2,1,1,0,0,0,1,0
181,260,False,13,12,74,4,3,3,2,22,4.615384615384615,3,1,1,1,1,1,1,0,2,1
182,261,True,12,12,86,1,4,2,1,19,6.083333333333333,4,1,1,2,0,1,1,0,1,1
183,262,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
184,263,False,4,4,26,2,0,0,0,9,5.25,0,0,0,0,0,0,0,0,0,0
185,264,False,9,9,50,4,3,2,0,16,4.444444444444445,3,0,0,0,1,1,1,0,1,1
186,265,False,12,12,82,0,1,0,9,21,5.75,1,1,1,2,0,0,0,0,2,0
187,266,True,7,7,52,0,0,1,0,14,6.285714285714286,0,0,0,0,0,0,0,0,0,0
188,267,False,19,16,92,11,0,0,0,29,3.789473684210526,0,3,2,2,2,0,0,0,3,0
189,268,False,13,13,82,1,5,0,2,18,5.230769230769231,5,1,1,2,0,2,0,0,1,2
190,269,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
191,270,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
192,271,False,12,12,82,0,1,0,9,21,5.75,1,1,1,2,0,0,0,0,2,0
193,272,False,12,12,82,0,1,0,9,21,5.75,1,1,1,2,0,0,0,0,2,0
194,273,False,20,19,100,9,4,4,0,25,3.95,4,3,3,3,2,1,1,0,2,1
195,274,True,12,12,68,7,5,0,0,17,4.583333333333333,5,1,1,1,2,2,0,0,1,2
196,276,True,10,10,75,1,1,2,0,17,6.4,1,0,1,1,0,0,1,0,1,0
197,277,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
198,279,False,9,9,49,4,0,1,0,13,4.333333333333333,0,0,0,0,1,0,0,0,0,0
199,280,False,7,7,42,1,7,1,0,8,4.857142857142857,7,0,0,0,0,2,0,0,0,2
200,281,False,11,11,73,0,2,0,10,17,5.545454545454546,2,1,1,1,0,0,0,0,1,0
201,283,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
202,285,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
203,287,True,10,10,77,1,1,2,0,17,6.6,1,0,1,2,0,0,1,0,1,0
204,289,True,10,10,77,1,1,2,0,17,6.6,1,0,1,2,0,0,1,0,1,0
205,290,False,11,11,66,3,3,2,0,17,4.909090909090909,3,1,1,1,1,1,1,0,1,1
206,291,False,16,15,102,4,1,1,2,22,5.3125,1,2,2,3,1,0,0,0,2,0
207,293,True,9,9,66,1,0,2,0,16,6.222222222222222,0,0,0,1,0,0,1,0,1,0
208,294,False,13,13,71,5,5,2,1,19,4.384615384615385,5,1,1,1,1,2,1,0,1,2
209,296,False,17,17,103,5,2,4,0,19,5.0,2,2,2,3,1,0,1,0,1,0
210,297,False,19,17,112,0,2,0,19,22,4.842105263157895,2,3,2,3,0,0,0,0,2,0
211,298,False,6,6,45,2,2,2,0,11,6.333333333333333,2,0,0,0,0,0,1,0,0,0
212,299,False,12,12,96,6,3,2,0,21,6.916666666666667,3,1,1,3,2,1,1,0,2,1
213,301,False,17,17,109,4,2,2,0,24,5.352941176470588,2,2,2,3,1,0,1,0,2,0
214,302,True,4,4,22,0,3,2,0,6,4.25,3,0,0,0,0,1,1,0,0,1
215,303,False,15,14,84,5,1,1,0,22,4.533333333333333,1,2,2,2,1,0,0,0,2,0
216,307,False,14,14,84,3,6,6,0,22,4.928571428571429,6,1,2,2,1,2,2,0,2,2
217,309,False,16,16,76,7,3,2,1,20,3.6875,3,2,2,2,2,1,1,0,2,1
218,310,True,15,15,78,5,1,1,1,19,4.133333333333334,1,2,2,2,1,0,0,0,1,0
219,312,False,4,4,26,1,1,1,0,9,5.25,1,0,0,0,0,0,0,0,0,0
220,313,True,15,15,78,5,1,1,1,19,4.133333333333334,1,2,2,2,1,0,0,0,1,0
221,314,False,11,11,67,4,2,2,1,22,4.909090909090909,2,1,1,1,1,0,1,0,2,0
222,315,False,11,10,60,6,0,0,0,18,4.363636363636363,0,1,1,1,2,0,0,0,1,0
223,316,False,16,16,103,6,7,3,0,24,5.375,7,2,2,3,2,2,1,0,2,2
224,318,True,15,15,91,4,2,2,1,22,5.0,2,2,2,2,1,0,1,0,2,0
225,320,True,22,20,133,9,0,0,0,33,5.0,0,3,3,4,2,0,0,0,3,0
226,321,False,24,24,125,7,0,2,1,34,4.166666666666667,0,3,3,4,2,0,1,0,3,0
227,322,True,15,13,91,7,1,3,0,22,4.933333333333334,1,2,1,2,2,0,1,0,2,0
228,327,False,15,14,88,3,9,7,0,22,4.8,9,2,2,2,1,2,2,0,2,2
229,328,True,8,8,44,3,0,1,1,11,4.375,0,0,0,0,1,0,0,0,0,0
230,329,True,14,14,102,3,8,3,0,25,6.214285714285714,8,1,2,3,1,2,1,0,2,2
231,330,False,9,9,80,2,4,1,0,22,7.777777777777778,4,0,0,2,0,1,0,0,2,1
232,331,False,19,19,118,4,3,7,1,27,5.157894736842105,3,3,3,4,1,1,2,0,3,1
233,332,False,14,14,124,4,8,2,1,31,7.785714285714286,8,1,2,4,1,2,1,0,3,2
234,334,True,22,20,124,13,1,1,0,32,4.590909090909091,1,3,3,4,2,0,0,0,3,0
235,335,False,13,13,75,6,0,0,0,18,4.6923076923076925,0,1,1,1,2,0,0,0,1,0
236,336,False,21,20,129,7,2,1,0,23,5.095238095238095,2,3,3,4,2,0,0,0,2,0
237,337,False,19,19,120,7,4,1,0,28,5.2631578947368425,4,3,3,4,2,1,0,0,3,1
238,338,True,15,15,78,5,1,1,1,19,4.133333333333334,1,2,2,2,1,0,0,0,1,0
239,340,True,14,14,87,0,1,0,14,26,5.142857142857143,1,1,2,2,0,0,0,0,3,0
240,341,False,22,19,129,10,4,0,0,34,4.818181818181818,4,3,3,4,2,1,0,0,3,1
241,344,False,21,20,117,6,5,4,2,30,4.523809523809524,5,3,3,4,2,2,1,0,3,2
242,345,False,7,7,48,1,3,4,1,12,5.714285714285714,3,0,0,0,0,1,1,0,0,1
243,346,True,14,12,80,7,0,1,1,25,4.642857142857143,0,1,1,2,2,0,0,0,2,0
244,347,False,20,19,110,10,2,3,0,23,4.45,2,3,3,3,2,0,1,0,2,0
245,348,False,5,5,41,1,1,3,0,16,7.0,1,0,0,0,0,0,1,0,1,0
246,349,False,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
247,352,True,4,4,43,1,0,0,0,16,9.5,0,0,0,0,0,0,0,0,1,0
248,353,False,10,10,79,1,0,8,0,22,6.8,0,0,1,2,0,0,2,0,2,0
249,354,True,6,6,55,0,7,3,0,16,8.0,7,0,0,1,0,2,1,0,1,2
250,355,False,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
251,356,True,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
252,358,False,15,15,82,6,5,1,0,22,4.4,5,2,2,2,2,2,0,0,2,2
253,360,True,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
254,361,False,19,19,126,5,2,4,0,28,5.578947368421052,2,3,3,4,1,0,1,0,3,0
255,363,False,4,4,38,0,1,1,0,13,8.25,1,0,0,0,0,0,0,0,0,0
256,364,True,11,10,66,6,0,1,0,22,4.909090909090909,0,1,1,1,2,0,0,0,2,0
257,365,True,19,17,112,5,9,2,1,19,4.842105263157895,9,3,2,3,1,2,1,0,1,2
258,368,False,14,13,94,3,0,1,1,23,5.642857142857143,0,1,1,2,1,0,0,0,2,0
259,370,False,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
260,371,False,23,23,126,6,7,6,0,31,4.434782608695652,7,3,3,4,2,2,2,0,3,2
261,372,False,20,18,113,5,9,3,1,19,4.6,9,3,3,3,1,2,1,0,1,2
262,375,False,19,17,112,5,9,2,1,19,4.842105263157895,9,3,2,3,1,2,1,0,1,2
263,380,False,15,15,102,5,8,3,2,26,5.733333333333333,8,2,2,3,1,2,1,0,3,2
264,381,True,10,9,58,3,1,6,0,15,4.7,1,0,0,1,1,0,2,0,1,0
265,383,False,22,19,127,10,3,4,1,28,4.7272727272727275,3,3,3,4,2,1,1,0,3,1
266,384,False,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
267,386,False,7,7,51,1,3,1,1,10,6.142857142857143,3,0,0,0,0,1,0,0,0,1
268,389,False,11,11,68,0,10,0,10,14,4.818181818181818,10,1,1,1,0,2,0,0,0,2
269,390,True,10,10,79,1,0,8,0,22,6.8,0,0,1,2,0,0,2,0,2,0
270,393,False,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
271,394,True,17,15,109,3,5,13,1,29,5.352941176470588,5,2,2,3,1,2,2,0,3,2
272,396,False,10,9,48,2,2,2,1,13,3.7,2,0,0,0,0,0,1,0,0,0
273,397,True,16,15,98,2,1,0,9,28,5.0,1,2,2,3,0,0,0,0,3,0
274,398,False,7,7,51,3,0,0,0,13,6.142857142857143,0,0,0,0,1,0,0,0,0,0
275,401,False,16,15,126,1,7,5,5,30,6.8125,7,2,2,4,0,2,2,0,3,2
276,402,False,2,2,19,0,0,1,0,6,8.0,0,0,0,0,0,0,0,0,0,0
277,404,True,16,16,116,1,8,6,1,24,6.1875,8,2,2,4,0,2,2,0,2,2
278,406,False,15,13,72,8,2,2,1,17,3.7333333333333334,2,2,1,1,2,0,1,0,1,0
279,407,False,20,20,122,4,7,3,0,28,5.05,7,3,3,4,1,2,1,0,3,2
280,409,False,8,8,38,3,1,1,0,9,3.625,1,0,0,0,1,0,0,0,0,0
