,id,#palabras,#palabras_unicas,#caracteres,#stopwords,#puntuacion,#capitalize,#mayusculas,#silabas,promedio_len_word,#caracteres_especiales
41,61,11,10,63,6,2,0,0,20,4.636363636363637,2
42,62,24,23,122,7,3,4,1,30,4.041666666666667,3
43,63,5,5,30,0,4,0,4,9,4.8,4
44,64,13,12,71,5,4,3,1,17,4.384615384615385,4
45,65,15,15,75,5,2,3,1,19,3.933333333333333,2
46,66,12,12,76,4,1,4,0,20,5.25,1
47,67,10,9,65,3,0,1,0,11,5.4,0
48,68,4,4,24,1,2,1,0,3,4.75,2
49,71,27,25,140,8,5,3,1,26,4.148148148148148,5
50,73,8,8,52,1,1,3,0,11,5.375,1
51,74,10,10,54,1,0,1,0,13,4.3,0
52,76,15,15,87,3,4,7,2,17,4.666666666666667,4
53,77,9,9,72,0,1,8,0,19,6.888888888888889,1
54,78,13,13,90,3,10,2,0,19,5.846153846153846,10
55,79,18,17,114,5,2,5,0,26,5.277777777777778,2
56,80,12,12,76,0,5,1,11,18,5.25,5
57,81,20,17,97,7,0,2,0,24,3.8,0
58,82,24,24,121,8,4,4,3,24,4.0,4
59,83,14,14,94,4,4,4,0,23,5.642857142857143,4
60,85,17,16,87,5,1,1,0,17,4.0588235294117645,1
61,86,17,17,114,5,5,5,0,24,5.588235294117647,5
62,89,14,13,76,0,6,8,0,11,4.285714285714286,6
63,91,21,21,119,10,3,2,0,26,4.619047619047619,3
64,92,9,9,59,0,6,5,1,14,5.333333333333333,6
65,93,6,6,39,1,0,1,0,9,5.333333333333333,0
66,95,18,17,79,8,3,2,2,22,3.3333333333333335,3
67,96,27,26,142,9,7,2,7,33,4.222222222222222,7
68,97,11,11,76,2,4,4,2,18,5.818181818181818,4
69,98,15,15,102,3,4,5,2,24,5.733333333333333,4
70,100,17,16,108,6,6,2,0,29,5.294117647058823,6
71,102,12,12,91,1,3,8,0,21,6.5,3
72,104,17,17,118,3,4,6,0,23,5.882352941176471,4
73,105,4,4,37,0,0,3,0,11,8.0,0
74,107,15,15,92,1,3,10,2,16,5.0,3
75,109,10,10,54,3,0,1,1,14,4.3,0
76,110,8,8,45,3,2,1,0,9,4.5,2
77,112,9,9,69,0,7,2,5,13,6.555555555555555,7
78,113,16,16,97,2,3,9,2,18,4.9375,3
79,114,18,12,93,11,7,0,0,15,4.111111111111111,7
80,117,27,25,144,11,16,0,0,27,4.2592592592592595,16
81,118,19,19,100,6,5,3,2,29,4.2105263157894735,5
82,119,17,16,82,7,2,4,3,19,3.764705882352941,2
83,120,12,12,79,6,3,4,0,17,5.5,3
84,121,11,11,58,3,2,2,3,11,4.181818181818182,2
85,126,16,16,115,1,6,11,2,28,6.125,6
86,128,8,8,69,0,6,0,8,15,7.5,6
87,129,24,24,142,6,5,7,3,36,4.875,5
88,130,25,25,130,6,3,5,2,24,4.16,3
89,131,6,6,49,0,3,0,6,10,7.0,3
90,132,5,5,25,3,4,0,0,6,3.8,4
91,133,8,8,59,0,5,1,8,12,6.25,5
92,134,10,10,58,1,1,0,8,14,4.7,1
93,135,8,8,58,0,1,8,0,18,6.125,1
94,136,3,3,27,0,0,3,0,7,7.666666666666667,0
95,137,26,24,140,6,7,6,4,24,4.346153846153846,7
96,138,22,22,140,7,3,2,0,35,5.318181818181818,3
97,139,20,20,125,8,6,1,2,28,5.2,6
98,141,9,8,47,7,1,0,0,15,4.111111111111111,1
99,143,22,18,99,9,4,1,0,22,3.4545454545454546,4
100,144,15,15,90,7,1,1,0,25,4.933333333333334,1
101,145,20,20,141,7,1,4,1,35,6.0,1
102,146,7,7,34,2,3,0,0,7,3.7142857142857144,3
103,149,20,17,112,10,3,3,0,20,4.5,3
104,151,13,11,81,0,14,3,4,13,5.153846153846154,14
105,153,11,11,75,3,3,4,0,17,5.7272727272727275,3
106,156,13,11,81,0,14,3,4,13,5.153846153846154,14
107,157,8,8,55,2,3,3,0,10,5.75,3
108,158,23,22,110,12,1,0,0,24,3.739130434782609,1
109,159,11,9,71,4,3,3,0,15,5.363636363636363,3
110,160,11,11,85,4,3,0,0,23,6.636363636363637,3
111,161,11,11,62,3,5,2,1,15,4.545454545454546,5
112,162,18,16,111,7,6,1,1,19,5.111111111111111,6
113,163,1,1,12,0,0,1,0,3,10.0,0
114,164,13,11,81,0,14,3,4,13,5.153846153846154,14
115,165,13,11,81,0,14,3,4,13,5.153846153846154,14
116,168,13,11,81,0,14,3,4,13,5.153846153846154,14
117,170,8,8,45,3,3,1,0,9,4.5,3
118,171,13,11,81,0,14,3,4,13,5.153846153846154,14
119,172,13,11,81,0,14,3,4,13,5.153846153846154,14
120,173,20,20,118,4,5,4,1,36,4.85,5
121,174,14,14,97,4,1,10,0,22,5.857142857142857,1
122,175,23,22,138,9,8,1,0,33,4.956521739130435,8
123,176,6,6,45,0,3,3,0,10,6.166666666666667,3
124,178,14,14,94,3,11,7,0,19,5.642857142857143,11
125,180,19,15,130,9,4,3,0,35,5.7894736842105265,4
126,182,26,22,134,15,4,3,0,31,4.115384615384615,4
127,183,15,13,88,6,6,2,0,21,4.8,6
128,184,26,22,134,12,3,4,1,33,4.076923076923077,3
129,185,11,11,63,4,1,2,0,13,4.636363636363637,1
130,187,4,4,15,1,0,1,1,6,2.5,0
131,190,1,1,12,0,0,1,0,3,10.0,0
132,191,21,20,116,7,3,3,1,27,4.476190476190476,3
133,193,18,17,100,9,1,4,0,23,4.444444444444445,1
134,194,14,10,80,3,3,3,0,10,4.642857142857143,3
135,195,12,12,61,1,3,5,4,17,4.0,3
136,196,17,17,115,2,5,5,0,24,5.705882352941177,5
137,197,19,18,115,8,4,2,0,32,5.0,4
138,198,13,13,70,6,1,0,0,19,4.3076923076923075,1
139,199,17,16,115,3,4,6,0,24,5.705882352941177,4
140,201,16,15,90,5,7,0,0,22,4.5625,7
141,203,20,20,112,6,6,0,0,27,4.55,6
142,204,7,7,45,1,1,5,0,13,5.285714285714286,1
143,205,9,9,63,1,4,7,0,13,5.777777777777778,4
144,208,22,21,137,4,1,8,1,41,5.181818181818182,1
145,209,9,9,76,0,7,7,0,15,7.333333333333333,7
146,210,17,16,117,3,1,6,0,26,5.823529411764706,1
147,211,20,18,138,3,4,6,0,30,5.85,4
148,212,13,13,97,3,6,1,3,21,6.384615384615385,6
149,213,13,13,73,3,0,1,1,18,4.538461538461538,0
150,215,20,19,103,10,3,2,0,22,4.1,3
151,216,17,17,115,2,5,5,1,24,5.705882352941177,5
152,218,12,12,102,1,10,1,0,29,7.416666666666667,10
153,219,9,9,64,1,5,7,0,13,5.888888888888889,5
154,220,9,9,62,1,4,7,0,13,5.777777777777778,4
155,221,11,11,72,2,2,3,0,23,5.454545454545454,2
156,222,16,16,107,0,7,14,0,26,5.625,7
157,225,10,10,59,4,1,1,0,16,4.8,1
158,226,17,17,115,2,5,6,1,25,5.705882352941177,5
159,229,17,16,115,3,4,6,0,24,5.705882352941177,4
160,231,16,16,96,0,6,12,2,22,4.9375,6
161,232,25,22,138,7,5,4,0,28,4.32,5
162,235,9,9,54,2,1,6,1,14,4.888888888888889,1
163,237,13,13,91,1,11,4,4,18,5.923076923076923,11
164,238,20,18,138,3,4,6,0,30,5.85,4
165,240,5,5,28,2,1,1,1,9,4.4,1
166,241,13,13,70,4,1,2,0,18,4.3076923076923075,1
167,242,21,19,106,11,2,2,1,30,4.0,2
168,243,11,10,65,3,0,1,0,18,4.818181818181818,0
169,244,6,6,40,2,0,1,0,10,5.333333333333333,0
170,245,20,19,115,6,3,2,0,33,4.7,3
171,246,22,20,118,10,4,1,0,27,4.318181818181818,4
172,247,9,9,66,1,0,2,0,16,6.222222222222222,0
173,248,18,18,92,5,7,1,0,19,4.055555555555555,7
174,249,12,12,85,1,2,3,0,21,6.0,2
175,251,8,8,64,0,0,1,0,13,6.875,0
176,252,19,19,138,7,5,5,0,28,6.2105263157894735,5
177,253,9,9,66,1,0,2,0,16,6.222222222222222,0
178,254,12,12,82,0,1,0,9,21,5.75,1
179,256,12,12,68,0,0,12,0,14,4.583333333333333,0
180,258,14,14,68,5,2,0,0,17,3.7857142857142856,2
181,260,13,12,74,4,3,3,2,22,4.615384615384615,3
182,261,12,12,86,1,4,2,1,19,6.083333333333333,4
183,262,9,9,66,1,0,2,0,16,6.222222222222222,0
184,263,4,4,26,2,0,0,0,9,5.25,0
185,264,9,9,50,4,3,2,0,16,4.444444444444445,3
186,265,12,12,82,0,1,0,9,21,5.75,1
187,266,7,7,52,0,0,1,0,14,6.285714285714286,0
188,267,19,16,92,11,0,0,0,29,3.789473684210526,0
189,268,13,13,82,1,5,0,2,18,5.230769230769231,5
190,269,9,9,66,1,0,2,0,16,6.222222222222222,0
191,270,9,9,66,1,0,2,0,16,6.222222222222222,0
192,271,12,12,82,0,1,0,9,21,5.75,1
193,272,12,12,82,0,1,0,9,21,5.75,1
194,273,20,19,100,9,4,4,0,25,3.95,4
195,274,12,12,68,7,5,0,0,17,4.583333333333333,5
196,276,10,10,75,1,1,2,0,17,6.4,1
197,277,9,9,66,1,0,2,0,16,6.222222222222222,0
198,279,9,9,49,4,0,1,0,13,4.333333333333333,0
199,280,7,7,42,1,7,1,0,8,4.857142857142857,7
200,281,11,11,73,0,2,0,10,17,5.545454545454546,2
201,283,9,9,66,1,0,2,0,16,6.222222222222222,0
202,285,9,9,66,1,0,2,0,16,6.222222222222222,0
203,287,10,10,77,1,1,2,0,17,6.6,1
204,289,10,10,77,1,1,2,0,17,6.6,1
205,290,11,11,66,3,3,2,0,17,4.909090909090909,3
206,291,16,15,102,4,1,1,2,22,5.3125,1
207,293,9,9,66,1,0,2,0,16,6.222222222222222,0
208,294,13,13,71,5,5,2,1,19,4.384615384615385,5
209,296,17,17,103,5,2,4,0,19,5.0,2
210,297,19,17,112,0,2,0,19,22,4.842105263157895,2
211,298,6,6,45,2,2,2,0,11,6.333333333333333,2
212,299,12,12,96,6,3,2,0,21,6.916666666666667,3
213,301,17,17,109,4,2,2,0,24,5.352941176470588,2
214,302,4,4,22,0,3,2,0,6,4.25,3
215,303,15,14,84,5,1,1,0,22,4.533333333333333,1
216,307,14,14,84,3,6,6,0,22,4.928571428571429,6
217,309,16,16,76,7,3,2,1,20,3.6875,3
218,310,15,15,78,5,1,1,1,19,4.133333333333334,1
219,312,4,4,26,1,1,1,0,9,5.25,1
220,313,15,15,78,5,1,1,1,19,4.133333333333334,1
221,314,11,11,67,4,2,2,1,22,4.909090909090909,2
222,315,11,10,60,6,0,0,0,18,4.363636363636363,0
223,316,16,16,103,6,7,3,0,24,5.375,7
224,318,15,15,91,4,2,2,1,22,5.0,2
225,320,22,20,133,9,0,0,0,33,5.0,0
226,321,24,24,125,7,0,2,1,34,4.166666666666667,0
227,322,15,13,91,7,1,3,0,22,4.933333333333334,1
228,327,15,14,88,3,9,7,0,22,4.8,9
229,328,8,8,44,3,0,1,1,11,4.375,0
230,329,14,14,102,3,8,3,0,25,6.214285714285714,8
231,330,9,9,80,2,4,1,0,22,7.777777777777778,4
232,331,19,19,118,4,3,7,1,27,5.157894736842105,3
233,332,14,14,124,4,8,2,1,31,7.785714285714286,8
234,334,22,20,124,13,1,1,0,32,4.590909090909091,1
235,335,13,13,75,6,0,0,0,18,4.6923076923076925,0
236,336,21,20,129,7,2,1,0,23,5.095238095238095,2
237,337,19,19,120,7,4,1,0,28,5.2631578947368425,4
238,338,15,15,78,5,1,1,1,19,4.133333333333334,1
239,340,14,14,87,0,1,0,14,26,5.142857142857143,1
240,341,22,19,129,10,4,0,0,34,4.818181818181818,4
241,344,21,20,117,6,5,4,2,30,4.523809523809524,5
242,345,7,7,48,1,3,4,1,12,5.714285714285714,3
243,346,14,12,80,7,0,1,1,25,4.642857142857143,0
244,347,20,19,110,10,2,3,0,23,4.45,2
245,348,5,5,41,1,1,3,0,16,7.0,1
246,349,17,15,109,3,5,13,1,29,5.352941176470588,5
247,352,4,4,43,1,0,0,0,16,9.5,0
248,353,10,10,79,1,0,8,0,22,6.8,0
249,354,6,6,55,0,7,3,0,16,8.0,7
250,355,17,15,109,3,5,13,1,29,5.352941176470588,5
251,356,17,15,109,3,5,13,1,29,5.352941176470588,5
252,358,15,15,82,6,5,1,0,22,4.4,5
253,360,17,15,109,3,5,13,1,29,5.352941176470588,5
254,361,19,19,126,5,2,4,0,28,5.578947368421052,2
255,363,4,4,38,0,1,1,0,13,8.25,1
256,364,11,10,66,6,0,1,0,22,4.909090909090909,0
257,365,19,17,112,5,9,2,1,19,4.842105263157895,9
258,368,14,13,94,3,0,1,1,23,5.642857142857143,0
259,370,17,15,109,3,5,13,1,29,5.352941176470588,5
260,371,23,23,126,6,7,6,0,31,4.434782608695652,7
261,372,20,18,113,5,9,3,1,19,4.6,9
262,375,19,17,112,5,9,2,1,19,4.842105263157895,9
263,380,15,15,102,5,8,3,2,26,5.733333333333333,8
264,381,10,9,58,3,1,6,0,15,4.7,1
265,383,22,19,127,10,3,4,1,28,4.7272727272727275,3
266,384,17,15,109,3,5,13,1,29,5.352941176470588,5
267,386,7,7,51,1,3,1,1,10,6.142857142857143,3
268,389,11,11,68,0,10,0,10,14,4.818181818181818,10
269,390,10,10,79,1,0,8,0,22,6.8,0
270,393,17,15,109,3,5,13,1,29,5.352941176470588,5
271,394,17,15,109,3,5,13,1,29,5.352941176470588,5
272,396,10,9,48,2,2,2,1,13,3.7,2
273,397,16,15,98,2,1,0,9,28,5.0,1
274,398,7,7,51,3,0,0,0,13,6.142857142857143,0
275,401,16,15,126,1,7,5,5,30,6.8125,7
276,402,2,2,19,0,0,1,0,6,8.0,0
277,404,16,16,116,1,8,6,1,24,6.1875,8
278,406,15,13,72,8,2,2,1,17,3.7333333333333334,2
279,407,20,20,122,4,7,3,0,28,5.05,7
280,409,8,8,38,3,1,1,0,9,3.625,1
281,410,18,15,93,10,2,2,2,26,4.055555555555555,2
282,412,12,11,67,3,3,4,1,18,4.5,3
283,413,5,5,27,2,0,0,0,9,4.2,0
284,415,17,17,119,0,11,4,9,26,5.9411764705882355,11
285,418,10,10,51,4,2,1,0,14,4.0,2
286,419,23,21,139,7,9,5,1,32,4.869565217391305,9
287,420,17,15,112,5,4,3,0,31,5.529411764705882,4
288,421,19,19,119,1,10,3,10,28,5.2105263157894735,10
289,423,13,12,75,7,3,1,0,18,4.6923076923076925,3
290,424,26,23,139,11,1,2,2,36,4.3076923076923075,1
291,426,15,15,73,5,4,3,1,14,3.8,4
292,427,17,17,99,3,3,1,7,28,4.764705882352941,3
293,429,16,16,84,8,7,1,0,18,4.1875,7
294,432,13,13,75,4,4,4,0,17,4.6923076923076925,4
295,435,15,15,104,0,8,4,8,25,5.866666666666666,8
296,436,19,19,96,5,1,5,1,24,4.0,1
297,437,12,12,70,0,6,2,2,12,4.75,6
298,438,10,10,49,4,2,1,1,9,3.8,2
299,440,10,10,58,4,2,3,0,13,4.7,2
300,442,4,4,30,1,0,1,0,9,6.25,0
301,443,20,18,116,7,4,4,0,27,4.6,4
302,444,23,23,140,7,3,4,1,33,5.043478260869565,3
303,445,17,17,103,1,7,4,9,24,5.0,7
304,446,15,13,80,1,8,3,6,17,4.266666666666667,8
305,447,15,13,83,1,8,4,6,18,4.466666666666667,8
306,448,8,6,74,0,18,1,3,13,8.125,18
307,450,5,5,37,0,2,3,0,11,6.2,2
308,451,7,7,44,1,3,2,0,9,5.0,3
309,452,11,11,67,3,3,2,0,15,5.0,3
310,453,12,12,72,1,4,6,0,16,4.833333333333333,4
311,454,11,11,66,4,2,3,0,18,4.909090909090909,2
312,455,14,14,117,0,13,4,3,27,7.214285714285714,13
313,456,16,16,80,5,6,2,0,20,3.9375,6
314,457,20,20,127,5,12,4,1,24,5.3,12
315,459,22,18,112,8,6,2,0,29,4.045454545454546,6
316,461,18,18,104,0,2,6,11,31,4.722222222222222,2
317,462,15,13,87,1,9,3,6,18,4.733333333333333,9
318,463,14,14,120,0,13,4,3,27,7.428571428571429,13
319,465,15,13,85,1,8,3,6,17,4.6,8
320,466,15,14,82,5,3,6,2,18,4.4,3
321,467,1,1,12,0,0,1,0,4,10.0,0
322,468,12,12,77,3,6,2,0,15,4.916666666666667,6
323,469,1,1,12,0,0,0,1,4,10.0,0
324,470,22,20,126,7,7,5,1,30,4.681818181818182,7
325,471,13,13,78,0,1,13,0,23,4.923076923076923,1
326,472,14,14,91,6,5,3,0,18,5.285714285714286,5
327,474,19,19,110,1,5,4,9,24,4.7368421052631575,5
328,475,15,15,82,7,2,3,0,21,4.4,2
329,476,15,15,98,5,2,1,0,25,5.466666666666667,2
330,477,16,16,112,1,7,2,9,23,5.9375,7
331,478,14,14,86,4,6,4,1,24,5.071428571428571,6
332,479,24,18,136,7,7,10,0,30,4.625,7
333,480,8,8,60,0,1,6,0,14,6.375,1
334,481,6,6,46,1,1,3,0,13,6.5,1
335,482,19,18,114,7,5,3,1,24,4.947368421052632,5
336,483,5,5,43,0,0,3,1,12,7.2,0
337,484,14,14,91,4,7,4,2,23,5.428571428571429,7
338,485,10,8,95,0,19,1,3,13,6.8,19
339,486,9,9,65,3,5,1,0,16,6.111111111111111,5
340,487,11,11,86,3,3,4,0,20,6.7272727272727275,3
341,489,17,16,115,0,5,12,1,26,5.705882352941177,5
342,490,19,19,112,0,3,16,1,31,4.7894736842105265,3
343,492,23,21,124,11,7,2,1,30,4.3478260869565215,7
344,493,9,7,91,0,26,2,3,14,9.0,26
345,495,12,12,85,1,7,5,0,14,5.916666666666667,7
346,496,9,9,45,2,1,5,0,12,3.888888888888889,1
347,498,10,10,59,2,1,6,0,15,4.8,1
348,499,11,11,54,3,1,5,1,13,3.8181818181818183,1
349,501,8,8,45,2,2,5,0,12,4.5,2
350,502,8,8,45,2,2,5,0,12,4.5,2
351,503,10,10,59,2,1,6,0,15,4.8,1
352,504,19,18,104,10,0,1,0,23,4.421052631578948,0
353,506,16,15,91,6,2,2,1,25,4.5625,2
354,509,19,16,118,5,2,5,0,31,5.157894736842105,2
355,512,12,11,75,5,3,3,0,16,5.166666666666667,3
356,513,22,20,98,11,1,1,0,28,3.409090909090909,1
357,514,6,6,29,1,3,4,1,5,3.6666666666666665,3
358,516,10,10,59,2,1,6,0,15,4.8,1
359,517,16,16,93,0,2,13,1,24,4.6875,2
360,518,10,10,59,2,1,6,0,15,4.8,1
361,519,9,9,60,0,1,0,8,13,5.555555555555555,1
362,520,27,7,117,0,45,2,1,19,3.259259259259259,45
363,521,12,12,57,3,1,5,1,13,3.5833333333333335,1
364,522,9,9,45,2,1,5,0,12,3.888888888888889,1
365,523,10,10,59,2,1,6,0,15,4.8,1
366,524,11,11,86,0,3,7,0,19,6.454545454545454,3
367,526,9,9,53,2,1,6,0,15,4.777777777777778,1
368,527,23,21,117,9,2,3,0,30,4.043478260869565,2
369,528,18,18,93,1,1,1,12,26,4.111111111111111,1
370,530,9,9,45,2,1,5,0,12,3.888888888888889,1
371,531,8,8,44,2,2,5,0,12,4.375,2
372,533,9,9,45,2,1,5,0,12,3.888888888888889,1
373,535,8,8,44,2,2,5,0,12,4.375,2
374,536,19,18,118,6,5,9,3,27,5.157894736842105,5
375,538,21,18,116,8,1,0,0,25,4.476190476190476,1
376,540,18,18,93,1,1,1,12,26,4.111111111111111,1
377,542,18,18,93,1,1,1,12,26,4.111111111111111,1
378,543,10,10,59,2,1,6,0,15,4.8,1
379,544,9,9,53,2,1,6,0,15,4.777777777777778,1
380,546,11,11,73,0,2,10,0,16,5.545454545454546,2
381,550,13,13,91,2,3,2,0,26,5.923076923076923,3
382,551,18,17,102,7,0,3,0,26,4.611111111111111,0
383,552,6,6,33,2,1,2,0,11,4.333333333333333,1
384,556,14,14,78,2,1,4,0,16,4.5,1
385,558,15,15,92,2,6,5,0,15,5.066666666666666,6
386,559,12,12,78,3,0,2,0,22,5.416666666666667,0
387,560,12,12,78,3,0,2,0,22,5.416666666666667,0
388,561,4,4,20,1,0,3,0,6,3.75,0
389,563,11,11,62,2,3,7,1,16,4.545454545454546,3
390,564,2,2,14,0,3,2,0,4,5.5,3
391,565,10,10,64,2,0,3,0,16,5.3,0
392,567,9,9,52,2,0,7,0,13,4.666666666666667,0
393,568,13,13,81,4,0,4,0,20,5.153846153846154,0
394,569,8,8,60,0,0,8,0,16,6.375,0
395,570,18,13,115,5,6,5,0,31,5.333333333333333,6
396,571,8,8,50,2,1,1,0,12,5.125,1
397,574,18,17,112,5,4,6,1,30,5.166666666666667,4
398,575,14,14,94,2,3,3,1,21,5.642857142857143,3
399,576,16,16,99,7,0,2,0,25,5.125,0
400,577,11,11,64,2,2,7,1,18,4.7272727272727275,2
401,578,3,3,16,1,0,0,0,5,4.0,0
402,579,18,13,115,5,6,5,0,31,5.333333333333333,6
403,580,12,12,78,3,0,2,0,22,5.416666666666667,0
404,581,12,12,66,2,3,7,1,18,4.416666666666667,3
405,583,11,11,62,2,3,7,1,16,4.545454545454546,3
406,584,12,12,78,3,0,2,0,22,5.416666666666667,0
407,585,10,10,60,2,2,7,1,16,4.9,2
408,588,11,11,69,2,1,3,0,18,5.181818181818182,1
409,589,13,13,87,3,2,2,0,18,5.615384615384615,2
410,592,14,14,84,2,1,6,0,19,4.928571428571429,1
411,594,10,10,64,2,0,3,0,16,5.3,0
412,598,5,5,24,1,0,0,0,6,3.6,0
413,599,7,6,44,0,3,3,2,10,4.857142857142857,3
414,600,6,6,43,0,0,3,0,11,6.0,0
415,603,15,14,90,7,0,0,0,28,4.933333333333334,0
416,604,6,6,46,1,1,2,0,11,6.5,1
417,606,10,10,64,2,0,3,0,16,5.3,0
418,607,5,5,32,1,0,0,1,4,5.2,0
419,608,3,3,11,1,0,0,0,4,2.3333333333333335,0
420,609,10,10,77,2,2,3,0,19,6.6,2
421,611,4,4,29,0,6,0,0,6,6.0,6
422,612,14,13,66,7,2,1,0,21,3.642857142857143,2
423,613,13,13,115,0,7,5,1,29,7.769230769230769,7
424,614,12,12,100,2,6,2,1,21,7.25,6
425,615,15,15,95,0,1,14,1,25,5.266666666666667,1
426,617,8,8,41,4,0,0,0,12,4.0,0
427,619,9,9,59,1,2,6,1,15,5.444444444444445,2
428,621,3,3,18,1,1,0,0,3,4.666666666666667,1
429,622,14,14,63,5,1,1,1,13,3.4285714285714284,1
430,623,16,15,102,6,3,2,0,23,5.3125,3
431,624,6,6,26,4,0,0,0,8,3.1666666666666665,0
432,625,13,13,77,0,3,11,0,18,4.846153846153846,3
433,628,1,1,7,0,0,0,1,3,5.0,0
434,630,8,8,59,0,2,3,0,15,6.25,2
435,631,7,7,35,2,2,0,0,8,3.857142857142857,2
436,633,14,13,65,7,1,2,2,19,3.5714285714285716,1
437,635,10,10,68,1,3,6,1,17,5.7,3
438,636,15,15,65,5,1,7,1,17,3.2666666666666666,1
439,637,3,3,20,0,0,0,0,5,5.333333333333333,0
440,638,12,12,62,1,0,0,0,13,4.083333333333333,0
441,640,8,8,37,3,0,0,0,10,3.5,0
442,641,7,7,34,3,0,0,0,12,3.7142857142857144,0
443,642,19,17,115,5,5,9,0,32,5.0,5
444,643,17,16,99,5,1,3,0,25,4.764705882352941,1
445,644,15,15,68,0,3,12,1,17,3.466666666666667,3
446,646,10,10,85,2,4,2,0,23,7.3,4
447,649,10,9,64,5,1,1,0,16,5.3,1
448,651,10,10,74,0,2,10,0,14,6.2,2
449,652,7,7,50,0,2,6,1,13,6.0,2
450,653,11,11,65,0,3,3,0,15,4.818181818181818,3
451,654,20,19,125,8,1,0,0,22,5.2,1
452,655,12,11,69,3,0,1,1,20,4.666666666666667,0
453,656,15,13,83,8,0,1,0,19,4.466666666666667,0
454,657,10,10,59,3,1,3,0,17,4.8,1
455,658,12,12,70,2,1,4,0,21,4.75,1
456,659,9,9,66,1,1,3,1,16,6.111111111111111,1
457,660,8,8,59,2,0,1,0,15,6.25,0
458,661,13,12,83,1,4,2,0,19,5.3076923076923075,4
459,662,12,12,81,2,1,8,2,22,5.666666666666667,1
460,664,13,12,88,3,0,10,0,20,5.6923076923076925,0
461,665,12,11,74,1,0,9,1,13,5.083333333333333,0
462,667,10,10,67,1,1,1,0,16,5.6,1
463,669,19,19,97,7,9,3,1,25,4.052631578947368,9
464,671,13,12,71,3,12,1,0,19,4.384615384615385,12
465,672,27,24,139,14,3,2,0,37,4.111111111111111,3
466,674,10,9,71,0,3,6,1,21,6.0,3
467,675,17,17,117,3,8,2,1,23,5.823529411764706,8
468,677,13,13,91,3,1,2,1,25,5.923076923076923,1
469,679,6,6,34,2,0,0,0,7,4.5,0
470,680,9,9,62,2,0,1,1,16,5.777777777777778,0
471,681,20,19,122,6,4,1,0,27,5.05,4
472,682,20,20,120,2,3,10,1,29,4.9,3
473,683,20,20,114,7,2,3,2,31,4.65,2
474,684,10,10,74,0,2,10,0,14,6.2,2
475,685,24,21,129,10,5,4,0,29,4.333333333333333,5
476,686,23,21,124,9,0,2,1,30,4.3478260869565215,0
477,687,7,7,56,1,2,2,0,13,6.857142857142857,2
478,688,12,12,58,5,2,1,1,16,3.75,2
479,689,12,11,58,3,2,3,1,17,3.75,2
480,690,12,12,90,0,5,10,0,18,6.333333333333333,5
481,691,3,3,19,0,2,0,0,6,5.0,2
482,697,8,8,42,3,1,1,0,11,4.125,1
483,699,17,15,115,3,4,3,0,30,5.705882352941177,4
484,700,18,15,85,8,3,3,2,19,3.5,3
485,702,3,3,17,0,0,1,1,4,4.333333333333333,0
